letter_li,number_li
"['a', 'j', 'a', 'x', 'i', 'f', 'y']","[2, 11, 2, 25, 10, 7, 26]"
"['a', 'k', 'k', 'a', 'd']","[2, 12, 12, 2, 5]"
"['a', 'k', 'u', 't', 'a', 'g', 'a', 'w', 'a']","[2, 12, 22, 21, 2, 8, 2, 24, 2]"
"['a', 'l', ' ', 'j', 'a', 'z', 'e', 'e', 'r', 'a']","[2, 13, 0, 11, 2, 27, 6, 6, 19, 2]"
"['a', 'l', 'a', 'd', 'd', 'i', 'n']","[2, 13, 2, 5, 5, 10, 15]"
"['a', 'l', 'a', 'm', 'o']","[2, 13, 2, 14, 16]"
"['a', 'l', 'a', 's', 'k', 'a']","[2, 13, 2, 20, 12, 2]"
"['a', 'l', 'a', 's', 'k', 'a', 'n']","[2, 13, 2, 20, 12, 2, 15]"
"['a', 'l', 'b', 'a', 'n']","[2, 13, 3, 2, 15]"
"['a', 'l', 'b', 'i', 'n', 'a']","[2, 13, 3, 10, 15, 2]"
"['a', 'l', 'b', 'u', 'q', 'u', 'e', 'r', 'q', 'u', 'e']","[2, 13, 3, 22, 18, 22, 6, 19, 18, 22, 6]"
"['a', 'l', 'c', 'y', 'o', 'n', 'e']","[2, 13, 4, 26, 16, 15, 6]"
"['a', 'l', 'd', 'e', 'b', 'a', 'r', 'a', 'n']","[2, 13, 5, 6, 3, 2, 19, 2, 15]"
"['a', 'l', 'd', 'e', 'r', 'a', 'm', 'i', 'n']","[2, 13, 5, 6, 19, 2, 14, 10, 15]"
"['a', 'l', 'e', 'j', 'a', 'n', 'd', 'r', 'o']","[2, 13, 6, 11, 2, 15, 5, 19, 16]"
"['a', 'l', 'e', 'k', 's', 'a', 'n', 'i', 'a', 'n']","[2, 13, 6, 12, 20, 2, 15, 10, 2, 15]"
"['a', 'l', 'e', 'k', 's', 'a', 'n', 'y', 'a', 'n']","[2, 13, 6, 12, 20, 2, 15, 26, 2, 15]"
"['a', 'l', 'e', 'x', 'a', 'n', 'd', 'e', 'r']","[2, 13, 6, 25, 2, 15, 5, 6, 19]"
"['a', 'l', 'e', 'x', 'a', 'n', 'd', 'r', 'o', 'u', 'p', 'o', 'l', 'i']","[2, 13, 6, 25, 2, 15, 5, 19, 16, 22, 17, 16, 13, 10]"
"['a', 'l', 'e', 'x', 'i', 's']","[2, 13, 6, 25, 10, 20]"
"['a', 'l', 'g', 'a', 'r', 'v', 'e']","[2, 13, 8, 2, 19, 23, 6]"
"['a', 'l', 'g', 'e', 'r', 'i', 'a']","[2, 13, 8, 6, 19, 10, 2]"
"['a', 'l', 'g', 'e', 'r', 'i', 'n', 'e']","[2, 13, 8, 6, 19, 10, 15, 6]"
"['a', 'l', 'g', 'i', 'e', 'd', 'i']","[2, 13, 8, 10, 6, 5, 10]"
"['a', 'l', 'g', 'i', 'e', 'r', 's']","[2, 13, 8, 10, 6, 19, 20]"
"['a', 'l', 'g', 'o', 'l']","[2, 13, 8, 16, 13]"
"['a', 'l', 'i', 'c', 'a', 'n', 't', 'e']","[2, 13, 10, 4, 2, 15, 21, 6]"
"['a', 'l', 'l', 'a', 'h']","[2, 13, 13, 2, 9]"
"['a', 'l', 'l', 'a', 'h', 'a', 'b', 'a', 'd']","[2, 13, 13, 2, 9, 2, 3, 2, 5]"
"['a', 'l', 'l', 'a', 'h', 'u', ' ', 'a', 'k', 'b', 'a', 'r']","[2, 13, 13, 2, 9, 22, 0, 2, 12, 3, 2, 19]"
"['a', 'l', 'l', 'e', 'g', 'r', 'a']","[2, 13, 13, 6, 8, 19, 2]"
"['a', 'l', 'm', 'a', 'i', 'n']","[2, 13, 14, 2, 10, 15]"
"['a', 'l', 'm', 'e', 'r', 'í', 'a']","[2, 13, 14, 6, 19, 39, 2]"
"['a', 'l', 'n', 'i', 'l', 'a', 'm']","[2, 13, 15, 10, 13, 2, 14]"
"['a', 'l', 'o', 'r', ' ', 's', 'e', 't', 'a', 'r']","[2, 13, 16, 19, 0, 20, 6, 21, 2, 19]"
"['a', 'l', 'p', 'e', 's', 't', 'r', 'i', 'n', 'e']","[2, 13, 17, 6, 20, 21, 19, 10, 15, 6]"
