word,origin,full_name,Group,word_len
brayon,fra,French,Latin,6
brazos,spa,Spanish; Castilian,Latin,6
brennschluss,deu,German,Germanic,12
brescia,ita,Italian,Latin,7
breslau,deu,German,Germanic,7
breton,fra,French,Latin,6
brian,gle,Irish,Other,5
briarean,lat,Latin,Latin,8
brigid,gle,Irish,Other,6
brindisi,ita,Italian,Latin,8
britpop,lat,Latin,Latin,7
brittany,lat,Latin,Latin,8
bruckner,deu,German,Germanic,8
bulgar,lat,Latin,Latin,6
bulgaria,lat,Latin,Latin,8
bulgarian,lat,Latin,Latin,9
burgessian,xno,Anglo-Norman,Germanic,10
burhan,ara,Arabic,Arabic,6
busan,kor,Korean,Other,5
byblos,lat,Latin,Latin,6
casevac,lat,Latin,Latin,7
caaba,ara,Arabic,Arabic,5
caesarea,lat,Latin,Latin,8
cagliari,ita,Italian,Latin,8
cain,heb,Hebrew,Other,4
caleb,heb,Hebrew,Other,5
callahan,gle,Irish,Other,8
calvary,lat,Latin,Latin,7
camargue,fra,French,Latin,8
camilla,lat,Latin,Latin,7
camille,fra,French,Latin,7
campobasso,ita,Italian,Latin,10
canadien,fra,French,Latin,8
canary islands,spa,Spanish; Castilian,Latin,14
cancer,lat,Latin,Latin,6
cancerian,lat,Latin,Latin,9
canicula,lat,Latin,Latin,8
canopus,lat,Latin,Latin,7
cantal,fra,French,Latin,6
cantorian,lat,Latin,Latin,9
cape verde,por,Portuguese,Latin,10
capella,lat,Latin,Latin,7
capricorn,lat,Latin,Latin,9
capsian,fra,French,Latin,7
carborundum,lat,Latin,Latin,11
carmel,heb,Hebrew,Other,6
carmelite,heb,Hebrew,Other,9
carmen,spa,Spanish; Castilian,Latin,6
cartagena,spa,Spanish; Castilian,Latin,9
carthage,lat,Latin,Latin,8
carthusian,fra,French,Latin,10
cassian,lat,Latin,Latin,7
cassiopeia,lat,Latin,Latin,10
cassius,lat,Latin,Latin,7
castalian,lat,Latin,Latin,9
catalanophile,lat,Latin,Latin,13
catanzaro,ita,Italian,Latin,9
catherine,fra,French,Latin,9
catherinian,fra,French,Latin,11
catholic,lat,Latin,Latin,8
catilinarian,lat,Latin,Latin,12
catonian,lat,Latin,Latin,8
caucasian albania,lat,Latin,Latin,17
cecil,lat,Latin,Latin,5
cecilia,lat,Latin,Latin,7
celia,lat,Latin,Latin,5
celine,fra,French,Latin,6
centaurus,lat,Latin,Latin,9
cephas,lat,Latin,Latin,6
cererian,lat,Latin,Latin,8
ceres,lat,Latin,Latin,5
